Year,State,<1,1-4,5-9,10-14,15-19,20-24,25-44,45-49,50-59,60-64,65+,Total
2004,Quintana Roo,0.0,0.0,0.0,0.0,0.0,0.0,2.31,0.0,7.64,0.0,0.0,1.74
2004,San Luis Potosí,0.0,0.0,0.0,0.0,1.57,0.89,34.43,90.5,104.28,85.39,69.08,41.58
2004,Sinaloa,0.0,0.0,0.0,0.0,0.73,3.04,15.86,35.95,50.37,61.74,41.44,20.57
2004,Sonora,0.0,0.0,0.0,0.0,0.88,11.82,16.64,49.78,46.02,53.61,41.37,24.62
2004,Tabasco,0.0,0.0,0.0,0.0,0.0,0.96,0.97,18.47,9.55,4.86,11.48,3.71
2004,Tamaulipas,0.0,0.0,0.0,0.0,0.0,0.0,12.68,48.34,46.95,45.87,56.03,19.94
2004,Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,1.87,3.97,5.97,8.56,0.0,1.9
2004,Veracruz,0.0,0.0,0.0,0.26,1.35,2.32,7.51,20.9,25.23,25.21,23.22,11.05
2004,Yucatán,0.0,0.0,0.0,0.0,0.0,0.0,1.14,2.2,2.93,4.19,0.0,1.11
2004,Zacatecas,0.0,0.0,0.0,0.0,0.0,1.45,9.63,27.51,31.32,43.16,25.29,13.03
2004,TOTAL GLOBAL,0.0,0.0,0.0,0.25,0.47,1.63,9.6,28.62,33.47,33.98,28.02,13.53
2005,Aguascalientes,0.0,0.0,0.0,0.0,0.0,0.0,9.96,29.94,35.95,16.9,33.39,13.07
2005,Baja California,0.0,0.0,0.0,0.68,4.31,10.23,13.11,38.3,36.31,95.95,32.84,19.32
2005,Baja California Sur,0.0,0.0,0.0,4.17,0.0,0.0,8.51,15.11,41.64,19.02,92.45,16.06
2005,Campeche,0.0,0.0,0.0,0.0,0.0,0.0,0.87,26.26,0.0,0.0,5.52,2.65
2005,Coahuila,0.0,0.0,0.0,1.57,0.0,0.0,6.5,8.88,30.86,39.86,14.12,9.82
2005,Colima,0.0,0.0,0.0,0.0,0.0,0.0,6.54,18.3,36.01,13.57,17.95,9.86
2005,Chiapas,0.0,0.0,0.0,0.0,0.41,0.45,4.76,9.41,8.55,9.42,20.63,5.09
2005,Chihuahua,0.0,0.0,0.0,0.57,0.0,3.29,9.8,16.67,23.83,18.59,23.25,11.04
